recorded_time,latitude,longitude
2014-05-11 14:56:10,42.3911303,-71.1197543
2014-05-11 14:57:24,42.3909251,-71.1199898
2014-05-11 14:57:53,42.3911191,-71.1197957
2014-05-11 15:00:09,42.3910669,-71.1231998
2014-05-11 15:00:54,42.3910676,-71.119813
2014-05-11 15:01:38,42.3909641,-71.1197931
2014-05-11 15:02:24,42.3907339,-71.1196191
2014-05-11 15:03:54,42.3906394,-71.1195843
2014-05-11 15:04:39,42.3902169,-71.1166092
2014-05-11 15:05:23,42.3909755,-71.1197279
2014-05-11 15:06:09,42.3910454,-71.1197386
2014-05-11 15:06:55,42.3908837,-71.1196892
2014-05-11 15:07:40,42.3910581,-71.1197049
2014-05-11 15:07:46,42.3906445,-71.1196366
2014-05-11 15:08:31,42.390988,-71.119736
2014-05-11 15:09:16,42.3907893,-71.1196813
2014-05-11 15:10:02,42.3909552,-71.1197183
2014-05-11 15:10:47,42.3910528,-71.1197454
2014-05-11 15:11:31,42.3906802,-71.1197056
2014-05-11 15:12:17,42.39107,-71.1195461
2014-05-11 15:13:02,42.3910423,-71.1197278
2014-05-11 15:13:47,42.3910497,-71.1196473
2014-05-11 15:15:18,42.3908686,-71.1197178
2014-05-11 15:16:03,42.3910607,-71.1196906
2014-05-11 15:16:48,42.3909768,-71.1196959
2014-05-11 15:17:33,42.3907191,-71.1196592
2014-05-11 15:18:18,42.3907951,-71.1196652
2014-05-11 15:19:02,42.3910266,-71.1197195
2014-05-11 15:19:47,42.3909263,-71.119732
2014-05-11 15:20:33,42.3909723,-71.1196987
2014-05-11 15:21:19,42.3907092,-71.1196603
2014-05-11 15:22:04,42.3909608,-71.1196061
2014-05-11 15:22:49,42.3910148,-71.1196541
2014-05-11 15:23:34,42.3907429,-71.1197046
2014-05-11 15:24:19,42.3909017,-71.119712
2014-05-11 15:25:04,42.3909136,-71.1196222
2014-05-11 15:25:49,42.391078,-71.1195454
2014-05-11 15:26:33,42.3908232,-71.1196089
2014-05-11 15:27:19,42.3906559,-71.1196687
2014-05-11 15:28:49,42.3908657,-71.1196338
2014-05-11 15:29:34,42.3908991,-71.1197387
2014-05-11 15:30:19,42.3907279,-71.119575
2014-05-11 15:31:04,42.390971,-71.1197597
2014-05-11 15:31:50,42.3906973,-71.1197456
2014-05-11 15:32:35,42.3910379,-71.1197056
2014-05-11 15:33:20,42.3907982,-71.119739
2014-05-11 15:34:05,42.3909103,-71.1197781
2014-05-11 15:34:50,42.3908266,-71.1196588
2014-05-11 15:35:35,42.3908521,-71.1197585
2014-05-11 15:36:20,42.3909551,-71.119597
2014-05-11 15:37:05,42.3910495,-71.1196768
2014-05-11 15:37:50,42.3910037,-71.1197198
2014-05-11 15:38:36,42.3910805,-71.1196793
2014-05-11 15:39:21,42.3910224,-71.1197506
2014-05-11 15:40:06,42.3910872,-71.1197466
2014-05-11 15:40:51,42.3909156,-71.119618
2014-05-11 15:41:35,42.3909993,-71.1196805
2014-05-11 15:42:21,42.3907862,-71.1196344
2014-05-11 15:43:06,42.3910488,-71.1195491
2014-05-11 15:44:36,42.3908831,-71.1197647
2014-05-11 15:46:06,42.3908266,-71.1196287
2014-05-11 15:46:51,42.3908015,-71.1197109
2014-05-11 15:47:37,42.3910812,-71.1195583
2014-05-11 15:48:22,42.3910946,-71.1196744
2014-05-11 15:49:06,42.3906363,-71.1196195
2014-05-11 15:49:52,42.3911118,-71.1196977
2014-05-11 15:50:38,42.3910329,-71.1196285
2014-05-11 15:51:23,42.3911198,-71.1197955
2014-05-11 15:52:08,42.3910757,-71.1196333
2014-05-11 15:52:52,42.391027,-71.119742
2014-05-11 15:53:38,42.3909343,-71.1196188
2014-05-11 15:54:23,42.3911318,-71.1196503
2014-05-11 15:55:08,42.3908274,-71.119821
2014-05-11 15:55:53,42.3911511,-71.1197536
2014-05-11 15:56:37,42.3908598,-71.1196918
2014-05-11 15:57:23,42.3910683,-71.119796
2014-05-11 15:58:08,42.391181,-71.1194963
2014-05-11 15:58:53,42.3906698,-71.1196824
2014-05-11 15:59:38,42.3908951,-71.1197248
2014-05-11 16:00:23,42.3908198,-71.1196656
2014-05-11 16:01:08,42.3910747,-71.1195568
2014-05-11 16:01:54,42.390938,-71.1196255
2014-05-11 16:02:39,42.3910278,-71.1195208
2014-05-11 16:03:24,42.3908004,-71.1196525
2014-05-11 16:04:09,42.3911024,-71.1197328
2014-05-11 16:04:54,42.3909789,-71.1197503
2014-05-11 16:05:39,42.3910258,-71.1196988
2014-05-11 16:06:24,42.3907743,-71.1196757
2014-05-11 16:07:09,42.3909467,-71.119779
2014-05-11 16:07:54,42.3910648,-71.1196921
2014-05-11 16:08:39,42.3910342,-71.1195755
2014-05-11 16:09:24,42.3911256,-71.1196748
2014-05-11 16:10:10,42.390647,-71.1196456
2014-05-11 16:10:55,42.3911278,-71.1196581
2014-05-11 16:11:40,42.3906139,-71.1196526
2014-05-11 16:12:25,42.3910397,-71.1195769
2014-05-11 16:13:10,42.3907848,-71.1196626
2014-05-11 16:13:55,42.3909794,-71.1195793
2014-05-11 16:14:40,42.3908466,-71.1196499
2014-05-11 16:15:25,42.3910249,-71.1197177
2014-05-11 16:16:10,42.3908139,-71.1197434
2014-05-11 16:16:55,42.3910714,-71.1195288
2014-05-11 16:17:40,42.3908308,-71.1196982
2014-05-11 16:18:25,42.3910802,-71.1196769
2014-05-11 16:19:55,42.3908799,-71.1196287
2014-05-11 16:20:40,42.3910741,-71.119726
2014-05-11 16:21:26,42.3910924,-71.119654
2014-05-11 16:22:11,42.39102,-71.1197264
2014-05-11 16:22:56,42.390779,-71.1197126
2014-05-11 16:23:41,42.3910702,-71.1197021
2014-05-11 16:24:26,42.3907008,-71.119718
2014-05-11 16:25:11,42.3910801,-71.1197118
2014-05-11 16:25:56,42.3909021,-71.1197061
2014-05-11 16:26:40,42.3908211,-71.1197234
2014-05-11 16:27:26,42.3909206,-71.1196559
2014-05-11 16:28:11,42.3909692,-71.1197139
2014-05-11 16:28:57,42.3910042,-71.1195665
